No,Query,Lat,Lng,Addr,Addr0,Addr1,Zip,Type0,Type1,Type2,Type3,Status
1,"Trilogia Live Bar, Medellin, Antioquia, Colombia",6.225521,-75.572438,"Cra 43G #248, Medellín, Antioquia, Colombia","A:248","A:Carrera 43G","Z050021",bar,establishment,point_of_interest,,OK
2,"Dulce Jesús Mío, Medellin, Antioquia, Colombia",6.2231504,-75.5653274,"Carrera 38 #19 255, Medellín, Antioquia, Colombia","A:19 255","A:Carrera 38","Z050021",establishment,night_club,point_of_interest,,OK
3,"Kukaramakara Medellín, Medellin, Antioquia, Colombia",6.226355,-75.572365,"Cl. 25 #43g43, Medellín, Antioquia, Colombia","A:43g43","A:Calle 25","Z050021",bar,establishment,night_club,point_of_interest,OK
4,"Cervecería Libre, Medellin, Antioquia, Colombia",6.2266484,-75.5732908,"Cra. 44 #25-31, Medellín, Antioquia, Colombia","A:25-31","A:Carrera 44","Z050021",bar,establishment,food,liquor_store,OK
5,"Altagracia Café-Bar, Medellin, Antioquia, Colombia",6.2082401,-75.5658312,"Cra. 35 #8A-81, Medellín, Antioquia, Colombia","A:8A-81","A:Carrera 35","Z050021",bar,establishment,food,point_of_interest,OK
6,"Pub Rock Medellin, Medellin, Antioquia, Colombia",6.2387798,-75.599473,"Av. 33 #78121, Medellín, Antioquia, Colombia","A:78121","A:Avenida 33","Z050031",establishment,night_club,point_of_interest,,OK
7,"Mojito Bar Medellín, Medellin, Antioquia, Colombia",6.2082766,-75.5657428,"Cra. 35 #8 A - 38, Medellín, Antioquia, Colombia","A:8 A - 38","A:Carrera 35","Z050021",bar,establishment,food,point_of_interest,OK
8,"Rock Café Dalí, Medellin, Antioquia, Colombia",6.2094113,-75.5701101,"Cl. 9 #42-03, Medellín, Antioquia, Colombia","A:42-03","A:Calle 9","Z050021",bar,cafe,establishment,food,OK
9,"Son Havana, Medellin, Antioquia, Colombia",6.2469585,-75.5890089,"Cq. 5 #79-61, San Joaquin, Medellín, Antioquia, Colombia","A:79-61","A:Circular 5","Z050031",casino,establishment,point_of_interest,,OK
10,"Salon Malaga, Medellin, Antioquia, Colombia",6.246492,-75.5697828,"Cra. 51 #45-80, Medellín, Antioquia, Colombia","A:45-80","A:Carrera 51","Z050015",bar,establishment,point_of_interest,,OK
11,"Rock Cafe Dali, Medellin, Antioquia, Colombia",6.2094113,-75.5701101,"Cl. 9 #42-03, Medellín, Antioquia, Colombia","A:42-03","A:Calle 9","Z050021",bar,cafe,establishment,food,OK
12,"Donde Aquellos Bar, Medellin, Antioquia, Colombia",6.209255,-75.567433,"Cra. 38 #9A-26, Medellín, Antioquia, Colombia","A:9A-26","A:Carrera 38","Z050021",bar,establishment,point_of_interest,,OK
13,"El Indio Bar, Medellin, Antioquia, Colombia",6.2471432,-75.5893564,"Cq. 5 #7050, Medellín, Antioquia, Colombia","A:7050","A:Circular 5","Z050031",bar,establishment,point_of_interest,,OK
14,"Gusto Night Club Medellín, Medellin, Antioquia, Colombia",6.2090729,-75.5677597,"Cl. 9a #3826, Medellín, Antioquia, Colombia","A:3826","A:Calle 9a","Z050021",establishment,night_club,point_of_interest,,OK
15,"El Pub de Octavia, Medellin, Antioquia, Colombia",6.2085689,-75.5662158,"Cl. 10 #8A-114, Medellín, Antioquia, Colombia","A:8A-114","A:Calle 10","Z050021",bar,establishment,point_of_interest,,OK
16,"La Selecta, Medellin, Antioquia, Colombia",6.2070208,-75.5656935,"Cra. 35 #783, Medellín, Antioquia, Colombia","A:783","A:Carrera 35","Z050021",bar,establishment,point_of_interest,,OK
17,"Discoteca Koko Bongo, Medellin, Antioquia, Colombia",6.2392499,-75.5938363,"a 74b-458, Av. 33 #74b-382, Medellín, Antioquia, Colombia","A:74b-382","A:Avenida 33","Z050031",establishment,night_club,point_of_interest,,OK
18,"Vintrash Bar, Medellin, Antioquia, Colombia",6.207836,-75.565927,"Cra. 35 #8A-41, Medellín, Antioquia, Colombia","A:8A-41","A:Carrera 35","Z050021",bar,establishment,point_of_interest,,OK
19,"Café El Club del Jazz, Medellin, Antioquia, Colombia",6.2445345,-75.5639826,"123 towers, Cl. 47 #42-38, Medellín, Antioquia, Colombia","A:123 towers","A:42-38","Z050016",bar,establishment,food,night_club,OK
