id,name,hypercat,created_at,updated_at
1,Bus/Metro,TRANSPORT,"2017-05-12 20:54:43","2017-05-18 17:31:31"
2,Café,FOOD,"2017-05-12 20:54:43",NULL
3,Dispensador,FOOD,"2017-05-12 20:54:43",NULL
4,Desayuno,FOOD,"2017-05-12 20:54:43",NULL
5,Pos-Desayuno,FOOD,"2017-05-12 20:54:43",NULL
6,Almuerzo,FOOD,"2017-05-12 20:54:43",NULL
7,Pos-Almuerzo,FOOD,"2017-05-12 20:54:43",NULL
8,Comida,FOOD,"2017-05-12 20:54:43",NULL
9,Pos-Comida,FOOD,"2017-05-12 20:54:43",NULL
10,"Compras Almacen",PURCHASES,"2017-05-12 20:54:43",NULL
11,"Trago + Comida",SORTIE,"2017-05-12 20:54:43",NULL
12,Cover,OTHER,"2017-05-12 20:54:43",NULL
13,Cine,OTHER,"2017-05-12 20:54:43",NULL
14,Limosna,OTHER,"2017-05-12 20:54:43",NULL
15,Monedas,OTHER,"2017-05-12 20:54:43",NULL
16,Regalo,PURCHASES,"2017-05-12 20:54:43",NULL
17,Aseo,OTHER,"2017-05-12 20:54:43",NULL
18,Postre,FOOD,"2017-05-12 20:54:43",NULL
19,Taxi,TRANSPORT,"2017-05-12 20:54:43",NULL
20,Uber,TRANSPORT,"2017-05-12 20:54:43",NULL
21,"Copias de Llaves",PURCHASES,"2017-05-12 20:54:43",NULL
22,Sortie,SORTIE,"2017-05-12 20:54:43",NULL
23,Helado,FOOD,"2017-05-12 20:54:43",NULL
24,"Retiro Cajero",OTHER,"2017-05-12 20:54:43",NULL
25,"Pago Movil",PURCHASES,"2017-05-12 20:54:43",NULL
26,Donación,OTHER,"2017-05-12 20:54:43",NULL
27,Cerveza,SORTIE,"2017-05-12 20:54:43",NULL
28,Prestamo,OTHER,"2017-05-12 20:54:43",NULL
29,Arriendo,OTHER,"2017-05-12 20:54:43",NULL
30,Sueldo,OTHER,"2017-05-12 20:54:43",NULL
31,"Pago Citibank",OTHER,"2017-05-12 20:54:43",NULL
32,Papeleria,OTHER,"2017-05-12 20:54:43",NULL
33,Notaria,OTHER,"2017-05-12 20:54:43",NULL
34,Cerveza,OTHER,"2017-05-12 20:54:43",NULL
35,Bebida,FOOD,"2017-05-18 14:19:29",NULL
